country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iran,0.21,,,,,0.58,,,,,1.01,,,,,1.01,,,1.03
Iraq,0.45,,,,,0.44,,,,,0.49,,,,,0.37,,,0.39
Iceland,7.03,,,,,7.74,,,,,7.5,,,,,8.74,,,9.12
Israel,3.08,,,,,2.7,,,,,3.12,,,,,3.86,,,4.21
Italy,10.4,,,,,9.41,,,,,7.34,,,,,7.59,,,7.84
Jamaica,4.91,,,,,4.43,,,,,4.38,,,,,4.19,,,4.22
Jordan,0.62,,,,,0.66,,,,,0.64,,,,,0.69,,,0.69
Japan,8.23,,,,,7.99,,,,,7.2,,,,,7.87,,,7.96
Kazakhstan,8.18,,,,,9.33,,,,,4.97,,,,,4.66,,,4.76
Kenya,3.83,,,,,3.01,,,,,3.29,,,,,2.77,,,2.78
Kyrgyz Republic,9.45,,,,,11.2,,,,,10.1,,,,,7.59,,,6.26
Cambodia,1.87,,,,,2.69,,,,,4.91,,,,,6.37,,,6.64
Kiribati,1.96,,,,,2.16,,,,,1.65,,,,,0.52,,,0.46
St. Kitts and Nevis,9.51,,,,,11.5,,,,,9.45,,,,,8.88,,,8.94
South Korea,12.3,,,,,10.6,,,,,9.97,,,,,10,,,9.7
Kuwait,0.038,,,,,0.019,,,,,0.032,,,,,0.003,,,0.003
Lao,4.66,,,,,4.37,,,,,7.1,,,,,10.1,,,10.7
Lebanon,2.96,,,,,2.31,,,,,1.94,,,,,1.65,,,1.71
Liberia,6.38,,,,,6.05,,,,,5.37,,,,,5.7,,,6.12
Libya,0.064,,,,,0.083,,,,,0.098,,,,,0.029,,,0.019
St. Lucia,11.8,,,,,11.6,,,,,9.69,,,,,9.96,,,10.6
Sri Lanka,2.22,,,,,2.59,,,,,3.92,,,,,4.1,,,4.1
Lesotho,7.31,,,,,5.37,,,,,6.5,,,,,4.8,,,4.59
Lithuania,13.4,,,,,16.1,,,,,15.3,,,,,15.4,,,13.2
Luxembourg,14.3,,,,,13.6,,,,,13,,,,,13.2,,,12.9
Latvia,8.76,,,,,12,,,,,11.6,,,,,12.6,,,12.8
Morocco,1.01,,,,,0.96,,,,,0.9,,,,,0.7,,,0.69
Moldova,13.9,,,,,19.9,,,,,15.5,,,,,11.9,,,11.4
Madagascar,2.11,,,,,1.53,,,,,1.87,,,,,1.88,,,1.97
Maldives,2.04,,,,,1.52,,,,,1.65,,,,,2.07,,,2.22
Mexico,6.43,,,,,6.48,,,,,5.21,,,,,4.92,,,5
North Macedonia,7.31,,,,,7.03,,,,,5.93,,,,,5.93,,,6.16
Mali,1.15,,,,,1.05,,,,,1.09,,,,,1.25,,,1.28
Malta,5.72,,,,,6.65,,,,,6.58,,,,,7.56,,,7.99
Myanmar,0.38,,,,,1.65,,,,,2.9,,,,,4.41,,,5.12
Montenegro,,,,,,,,,,,15.1,,,,,10.9,,,11.5
Mongolia,3.11,,,,,5.28,,,,,9.65,,,,,11,,,8.19
Mozambique,2.33,,,,,1.3,,,,,1.63,,,,,2.19,,,2.3
Mauritania,0.2,,,,,0.13,,,,,0.086,,,,,0.033,,,0.036
Mauritius,5.49,,,,,5,,,,,3.81,,,,,3.94,,,4.35
Malawi,2.42,,,,,2.87,,,,,3.21,,,,,3.62,,,3.63
Malaysia,1.53,,,,,1.28,,,,,1.32,,,,,0.85,,,0.85
Namibia,3.26,,,,,2.7,,,,,1.99,,,,,5.23,,,5.43
Niger,0.23,,,,,0.25,,,,,0.31,,,,,0.55,,,0.67
Nigeria,12.5,,,,,12.5,,,,,11.7,,,,,10.8,,,10.8
Nicaragua,5.05,,,,,5.3,,,,,4.79,,,,,5.03,,,5.18
